transaction_id,user_id,amount,status,date
TR24001,1,2150.50,completed,2024-01-05
TR24002,2,45.00,cancelled,2024-01-12
TR24003,3,130.00,completed,2024-01-18
TR24004,4,890.25,completed,2024-02-01
TR24005,5,15.50,completed,2024-02-10
TR24006,6,4200.00,completed,2024-02-22
TR24007,7,-20.00,completed,2024-03-01
TR24008,8,740.00,completed,2024-03-10
TR24009,9,115.75,completed,2024-03-15
TR24010,10,3200.00,completed,2024-03-25
TR24011,11,85.25,completed,2024-04-01
TR24012,12,55.00,cancelled,2024-04-10
TR24013,13,190.00,completed,2024-04-15
TR24014,14,5400.00,completed,2024-04-20
TR24015,15,710.50,completed,2024-05-01
TR24016,16,15.75,completed,2024-05-10
TR24017,17,-100.00,completed,2024-05-15
TR24018,18,950.00,completed,2024-05-20
TR24019,19,120.25,completed,2024-06-01
TR24020,20,1800.00,completed,2024-06-10
TR24021,21,415.50,completed,2024-06-15
TR24022,22,60.00,cancelled,2024-06-22
TR24023,23,210.00,completed,2024-07-01
TR24024,24,3300.00,completed,2024-07-10
TR24025,25,840.75,completed,2024-07-15
TR24026,26,25.00,completed,2024-07-20
TR24027,27,480.00,completed,2024-08-01
TR24028,28,-35.00,completed,2024-08-10
TR24029,29,1250.50,completed,2024-08-15
TR24030,30,65.00,completed,2024-08-20
TR24031,31,310.00,completed,2024-09-01
TR24032,32,80.00,cancelled,2024-09-10
TR24033,33,1400.75,completed,2024-09-15
TR24034,34,950.00,completed,2024-09-22
TR24035,35,55.50,completed,2024-10-01
TR24036,36,2900.00,completed,2024-10-10
TR24037,37,-15.00,completed,2024-10-15
TR24038,38,740.00,completed,2024-10-20
TR24039,39,180.00,completed,2024-11-01
TR24040,40,4200.50,completed,2024-11-10
TR24041,41,340.25,completed,2024-11-15
TR24042,42,70.00,cancelled,2024-11-22
TR24043,43,215.00,completed,2024-12-01
TR24044,44,3500.00,completed,2024-12-10
TR24045,45,860.75,completed,2024-12-15
TR24046,46,25.00,completed,2024-12-20
TR24047,47,580.00,completed,2024-12-25
TR24048,48,-40.00,completed,2024-12-28
TR24049,49,2600.00,completed,2024-12-30
TR24050,50,110.25,completed,2024-12-31
